Current Role: ,Familiarity with Agile Frameworks:,Familiarity with Artificial Intelligence Tools(Like ChatGPT ):,Have you used artificial intelligence tools in software development projects before?,"If yes, please specify the types of artificial intelligence tools you have used (check all that apply):",How do you perceive the potential benefits of integrating AI tools within agile frameworks for software development? (Check all that apply):,What challenges do you foresee in integrating AI tools within agile frameworks? (Check all that apply):,"On a scale of 1 to 5, how willing would you be to adopt AI tools within your agile development processes?"
Developer,Somewhat Familiar,Very Familiar,Yes,"NLP, Chatbots","Enhanced decision-making processes, Improved product quality","Integration complexities, Lack of expertise in AI technologies",4
Developer,Very Familiar,Very Familiar,Yes,"ML Algorithms, Predictive Analytics, Chatbots, GenAI tools","Faster development cycles, Enhanced decision-making processes, Improved product quality","Lack of expertise in AI technologies, Cost implications, Ethical considerations",3
Project Manager,Somewhat Familiar,Somewhat Familiar,No,-,-,-,2
Scrum Master,Very Familiar,Somewhat Familiar,Yes,"ML Algorithms, NLP, Predictive Analytics, Chatbots",Faster development cycles,"Lack of expertise in AI technologies, Integration complexities, Resistance from team members, Cost implications, Ethical considerations",4
Project Manager,Very Familiar,Very Familiar,Yes,-,"Faster development cycles, Enhanced decision-making processes, Improved product quality","Resistance from team members, Ethical considerations",5
Quality Assurance Eng.,Not Familiar,Not Familiar,No,-,-,"Resistance from team members, Cost implications, Ethical considerations",1
Developer,Somewhat Familiar,Very Familiar,Yes,"ML Algorithms, Predictive Analytics, Chatbots",Faster development cycles,Lack of expertise in AI technologies,4
Developer,Very Familiar,Very Familiar,Yes,Computer Vision,Faster development cycles,Integration complexities,5
Developer,Somewhat Familiar,Very Familiar,Yes,-,Improved accuracy in predicting project timelines,Integration complexities,4
Scrum Master,Very Familiar,Very Familiar,Yes,"ML Algorithms, Predictive Analytics, Chatbots, GenAI tools","Faster development cycles, Enhanced decision-making processes, Improved product quality","Lack of expertise in AI technologies, Integration complexities, Resistance from team members, Cost implications, Ethical considerations",4
Product Owner,Somewhat Familiar,Very Familiar,No,-,-,"Resistance from team members, Ethical considerations",3
Quality Assurance Eng.,Somewhat Familiar,Somewhat Familiar,No,-,-,Lack of expertise in AI technologies,2
Developer,Very Familiar,Very Familiar,Yes,"ML Algorithms, Predictive Analytics, Chatbots","Faster development cycles, Enhanced decision-making processes, Improved product quality","Integration complexities, Resistance from team members",5
Scrum Master,Somewhat Familiar,Very Familiar,Yes,"NLP, Chatbots","Faster development cycles, Improved accuracy in predicting project timelines","Cost implications, Ethical considerations",4
Project Manager,Very Familiar,Very Familiar,No,-,-,"Lack of expertise in AI technologies, Integration complexities",2
Developer,Somewhat Familiar,Not Familiar,No,-,-,Lack of expertise in AI technologies,1
Developer,Very Familiar,Very Familiar,Yes,"Chatbots, GenAI tools","Faster development cycles, Enhanced decision-making processes","Resistance from team members, Cost implications, Ethical considerations",4
Scrum Master,Very Familiar,Very Familiar,Yes,"ML Algorithms, Predictive Analytics",Faster development cycles,"Integration complexities, Lack of expertise in AI technologies",5
Project Manager,Somewhat Familiar,Somewhat Familiar,No,-,-,"Lack of expertise in AI technologies, Integration complexities",3
Developer,Somewhat Familiar,Very Familiar,Yes,-,Improved accuracy in predicting project timelines,Lack of expertise in AI technologies,4
Scrum Master,Very Familiar,Very Familiar,Yes,"Chatbots, GenAI tools","Faster development cycles, Enhanced decision-making processes","Cost implications, Ethical considerations",5
Product Owner,Very Familiar,Somewhat Familiar,No,-,-,"Resistance from team members, Ethical considerations",2
Developer,Somewhat Familiar,Very Familiar,Yes,"ML Algorithms, NLP, Predictive Analytics, Chatbots",Faster development cycles,"Lack of expertise in AI technologies, Integration complexities, Resistance from team members",4
Quality Assurance Eng.,Somewhat Familiar,Somewhat Familiar,Yes,Chatbots,"Faster development cycles, Improved accuracy in predicting project timelines","Resistance from team members, Ethical considerations",3
Developer,Very Familiar,Very Familiar,Yes,"ML Algorithms, Predictive Analytics","Enhanced decision-making processes, Improved product quality","Lack of expertise in AI technologies, Cost implications, Ethical considerations",5
Scrum Master,Very Familiar,Very Familiar,Yes,"NLP, Chatbots",Faster development cycles,"Integration complexities, Resistance from team members, Cost implications, Ethical considerations",4
Project Manager,Somewhat Familiar,Somewhat Familiar,No,-,-,"Lack of expertise in AI technologies, Integration complexities",3
Developer,Somewhat Familiar,Very Familiar,Yes,"Chatbots, GenAI tools",Faster development cycles,"Resistance from team members, Cost implications, Ethical considerations",4
Developer,Somewhat Familiar,Very Familiar,Yes,"Natural Language Processing (NLP), Chatbots","Enhanced decision-making processes, Improved product quality","Lack of expertise in AI technologies, Cost implications, Ethical considerations",4
